District,Crime Attribute,Crime Measure
Bagalkot,Number of Cases Reported For Political Reasons CHNA (C.H.),0
Bagalkot,Number of Cases Reported  By Terrorist /Extremists Murder (C.H.),0
Bagalkot,Number of Cases Reported  By Terrorist /Extremists CHNA (C.H.),0
Bagalkot,Number of Cases Reported Communalism Murder (C.H.),0
Bagalkot,Number of Cases Reported Communalism CHNA  (C.H.),0
Bagalkot,Casteism Murder (C.H.),0
Bagalkot,Casteism CHNA (C.H.),0
Bagalkot,Number of Cases Reported Under Class Conflict Murder (C.H.),0
Bagalkot,Number of Cases Reported Under Class Conflict CHNA (C.H.),0
Bagalkot,Number of Cases Reported Under Other Motives Murder (C.H.),20
Bagalkot,Number of Cases Reported Under Other Motives CHNA (C.H.),1
Bagalkot,Number of Cases Reported Under Total CHNA (C.H.),1
Bagalkot,Number of Victims Upto 10 Years (Males),1
Bagalkot,Number of Victims Upto 10 Years (Females),1
Bagalkot,Number of Victims Upto 10 Years (Total),3
Bagalkot,Number of Victims 11 - 15 Years (Males),0
Bagalkot,Number of Victims 11 - 15 Years (Females),0
Bagalkot,Number of Victims 11 - 15 Years (Total),0
Bagalkot,Number of Victims 16 - 18 Years (Males),2
Bagalkot,Number of Victims 16 - 18 Years (Females),0
Bagalkot,Number of Victims 16 - 18 Years (Total),3
Bagalkot,Number of Victims 19 - 30 Years (Males),4
Bagalkot,Number of Victims 19 - 30 Years (Females),46
Bagalkot,Number of Victims 19 - 30 Years (Total),51
Bagalkot,Number of Victims 31 - 50 Years (Males),14
Bagalkot,Number of Victims 31 - 50 Years(Females),6
Bagalkot,Number of Victims 31 - 50 Years (Total),21
Bagalkot,Number of Victims 31 - 50 Years (Males),0
Bagalkot,Number of Victims 31 - 50 Years (Total),0
Bagalkot,Number of Victims Above 50 Years (Males),0
Bagalkot,Number of Victims Above 50 Years (Females),1
Bagalkot,Number of Victims Above 50 Years (Total),2
Bagalkot,Number of Victims Above 50 Years (Females),0
Bagalkot,Number of Victims Above 50 Years (Total),0
Bagalkot,Number of Victims CH Not Amounting to Murder Upto 10 Years (Males),0
Bagalkot,Number of Victims CH Not Amounting to Murder Upto 10 Years (Females),0
Bagalkot,Number of Victims CH Not Amounting to Murder Upto 10 Years (Total),0
Bagalkot,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Males),0
Bagalkot,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Females),0
Bagalkot,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Total),0
Bagalkot,Number of Victims CH Not Amounting to Murder 16 - 18 Years (Males),0
Bagalkot,Number of Victims CH Not Amounting to Murder 16 - 18 Years (Total),0
Bagalkot,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Males),1
Bagalkot,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Females),0
Bagalkot,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Total),1
Bagalkot,Number of Victims 31 - 50 Years (Females),0
Bagalkot,Number of Victims Above 50 Years(Males),0
Bagalkot,Number of Victims Total of All Age Groups (Males),25
Bagalkot,Number of Victims Total of All Age Groups (Females),16
Bagalkot,Number of Victims Total of All Age Groups (Total),41
Bagalkot,Number of Victims Total of All Age Groups (Males),1
Bagalkot,Number of Victims Total of All Age Groups (Females),0
Bagalkot,Number of Victims Total of All Age Groups (Total),1
Bagalkot,Unidentified Bodies Recovered and Inquest Conducted,0
Bagalkot,Total Number of Cases Reported (Age Group and Gender Wise Victims),14
Bagalkot,Sex Wise / Group Wise Upto 10 Years (Males),2
Bagalkot,Sex Wise / Group Wise Upto 10 Years (Females),0
Bagalkot,Sex Wise / Group Wise 11 - 15 Years (Males),0
Bagalkot,Sex Wise / Group Wise 11 - 15 Years (Females),0
Bagalkot,Sex Wise / Group Wise 16 - 18 Years (Males),0
Bagalkot,Sex Wise / Group Wise 16 - 18 Years (Females),0
Bagalkot,Sex Wise / Group Wise 19 - 30 Years (Males),11
Bagalkot,Sex Wise / Group Wise 19 - 30 Years (Females),0
Bagalkot,Sex Wise / Group Wise 31 - 50 Years (Males),0
Bagalkot,Sex Wise / Group Wise 31 - 50 Years (Females),0
Bagalkot,Sex Wise / Group Wise Above 50 Years (Males),0
Bagalkot,Sex Wise / Group Wise Above 50 Years (Females),0
Bagalkot,Sex Wise / Group Wise Total (Males),14
Bagalkot,Sex Wise / Group Wise Total (Females),0
Bagalkot,Age Group and Gender Wise Victims of Total Kidnapping & Abduction (Grand Total),14
Bagalkot,Total Number of Cases For Investigation Including Pending Cases,2606
Bagalkot,Number of Cases In Which Investigation Was Refused,7
Bagalkot,Number of Cases In Which Investigation Was Completed,136
Bagalkot,Number of Cases In Which Investigation Was Completed Charge Found False / Mistake of Fact Or Law Etc.,199
Bagalkot,Number of Cases In Which Investigation Was Completed Final Report True Submitted,1720
Bagalkot,Number of Cases In Which Investigation Was Completed Charge Sheets Were Submitted,2057
Bagalkot,Number of Cases Pending Investigation,541
Bagalkot,Pendency Percentage,20.1
Bagalkot,Percentage of Pendency to All Karnataka Total,0.9
Bagalkot,Total Number of Cases For Investigation Including Pending Cases (SLL),369
Bagalkot,Number of Cases In Which Investigation Was Refused (SLL),0
Bagalkot,Number of Cases In Which Investigation Was Completed (SLL),332
Bagalkot,Number of Cases In Which Investigation Was Completed Charge Found False / Mistake of Fact Or Law Etc. (SLL),15
Bagalkot,Number of Cases In Which Investigation Was Completed Final Report True Submitted (SLL),0
Bagalkot,Number of Cases In Which Investigation Was Completed Charge Sheets Were Submitted (SLL),317
Bagalkot,Number of Cases Pending Investigation (SLL),36
Bagalkot,Pendency Percentage (SLL),9.7
Bagalkot,Disposal of Cases Under Murder (Confession),0
Bagalkot,Disposal of Cases Under Murder (Trial),21
Bagalkot,Disposal of Cases Under Murder (Total),21
Bagalkot,Disposal of Cases  Attempt to Commit Murder (Confession),0
Bagalkot,Disposal of Cases  Attempt to Commit Murder (Trial),19
Bagalkot,Disposal of Cases  Attempt to Commit Murder (Total),19
Bagalkot,Disposal of Cases C.H. Not Amounting to Murder (Confession),0
Bagalkot,Disposal of Cases  C.H. Not Amounting to Murder (Trial),0
Bagalkot,Disposal of Cases C.H. Not Amounting to Murder (Total),0
Bagalkot,Disposal of Cases Under Rape (Confession),0
Bagalkot,Disposal of Cases Under Rape (Trial),6
Bagalkot,Disposal of Cases Under Rape (Total),6
Bagalkot,Disposal of Cases Under Kidnapping & Abduction (Confession),0
Bagalkot,Disposal of Cases Under Kidnapping & Abduction(Trial),7
Bagalkot,Disposal of Cases Under Kidnapping & Abduction(Total),7
Bagalkot,Disposal of Cases Under Women & Girls (Confession),0
Bagalkot,Disposal of Cases Under Women & Girls (Trial),5
Bagalkot,Disposal of Cases Under Women & Girls (Total),5
Bagalkot,Disposal of Cases Under Others (Confession),0
Bagalkot,Disposal of Cases Under Others (Trial),1
Bagalkot,Disposal of Cases Under Others (Total),1
Bagalkot,Disposal of Cases Under Dacoity (Confession),0
Bagalkot,Disposal of Cases Under Dacoity (Trial),0
Bagalkot,Disposal of Cases Under Dacoity (Total),0
Bagalkot,Disposal of Cases Under Preparation & Assembly For Dacoity (Confession),0
Bagalkot,Disposal of Cases Under Preparation & Assembly For Dacoity (Trial),0
Bagalkot,Disposal of Cases Under Preparation & Assembly For Dacoity (Total),0
Bagalkot,Disposal of Cases Robbery (Confession),0
Bagalkot,Disposal of Cases Robbery (Trial),1
Bagalkot,Disposal of Cases Robbery (Total),1
Bagalkot,Disposal of Cases  Riot (Confession),0
Bagalkot,Disposal of Cases Riot (Trial),40
Bagalkot,Disposal of Cases Riot (Total),40
Bagalkot,Disposal of Cases Arson (Confession),0
Bagalkot,Disposal of Cases Arson (Trial),0
Bagalkot,Disposal of Cases  Arson (Total),0
Bagalkot,Disposal of Cases Dowry Death (Confession),0
Bagalkot,Disposal of Cases Dowry Death (Trial),2
Bagalkot,Disposal of Cases Dowry Death (Total),2
Bagalkot,Disposal of Cases Total (Confession),0
Bagalkot,Disposal of Cases Total (Trial),100
Bagalkot,Disposal of Cases Total  (Total),100
Bagalkot,Total Number of Cases For Trail Including Pending Cases,4808
Bagalkot,Number of Cases Withdrawn By Govt.,0
Bagalkot,Number of Cases Compounded Or With Drawn,126
Bagalkot,Number of Cases In Which Trials Were Completed Convicted,630
Bagalkot,Number of Cases In Which Trials Were Completed Acquitted Or Discharged,605
Bagalkot,Number of Cases In Which Trials Were Completed Total,1235
Bagalkot,Number of Cases Pending Trial (Disposal of IPC Cases By Courts),3446
Bagalkot,Pendency Percentage (Disposal of IPC Cases By Courts),69.5
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Murder,8
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Attempt to Commit Murder,5
Bagalkot,Conviction of IPC Cases Under Various Crime Heads C.H. Not Amounting to Murder,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Rape,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction Total,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction of Women Or Girls,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction of Others,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Dacoity,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Preparation & Assembly For Dacoity,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Robbery,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Burglary,10
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Theft Total,7
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Theft Auto,1
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Theft Others,5
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Riots,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Criminal Breach of Trust,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Cheating,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Counterfeiting,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Arson,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Hurt,2
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Dowry Deaths,11
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Molestation,2
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Sexual Harassment,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Cruelty By Husband & Relatives,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Death By Negligence,0
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Other IPC Cases,578
Bagalkot,Conviction of IPC Cases Under Various Crime Heads Total Cognizable Cases Under IPC,630
Bagalkot,Total Number of Cases For Trail Including Pending Cases (Disposal of SLL Crime Cases By Court),953
Bagalkot,Cases With Drawn By Govt. ((Disposal of SLL Crime Cases By Court),0
Bagalkot,Number of Cases Compounded Or With Drawn (Disposal of SLL Crime Cases By Court),13
Bagalkot,Number of Cases In Which Trials Were Completed Convicted (Disposal of SLL Crime Cases By Court),150
Bagalkot,Number of Cases In Which Trials Were Completed Acquitted Or Discharged (Disposal of SLL Crime Cases By Court),97
Bagalkot,Number of Cases In Which Trials Were Completed (Total) (Disposal of SLL Crime Cases By Court),248
Bagalkot,Disposal of SLL Crime Cases By Court (Pending Trial),691
Bagalkot,Disposal of SLL Crime Cases By Court (Pending Percentage),70.4
Bagalkot,Percentage of Pendency to All Karnataka Total (Disposal of SLL Crime Cases By Court),1.9
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Arms Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Ndps Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Gambling Act),125
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Excise Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Prohibition Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Exp. & Exp.Sub. Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (I.T.P. Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Indian Railways Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Registration of Foreigners Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (P.C.R. Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Indian Passport Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Essential Commodities Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Tada Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Antiquity & Art Treasure Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Dowry Prohibition Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Indecent Rep. of Womenn Proh. Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Copyright Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Sati Prevention Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Sc/St (P) of Atrocities Act),2
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Forest Act),0
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Other SLL Crimes),21
Bagalkot,Conviction of SLL Crime Cases Under Various Acts (Total Cognizable Crimes Under SLL),150
Bagalkot,District Session Judge Duration of Trial Less Then 6 Months,0
Bagalkot,District Session Judge Duration of Trial 6-12 Months,0
Bagalkot,District Session Judge Duration of Trial 1-3 Years,28
Bagalkot,District Session Judge Duration of Trial 3-5 Years,20
Bagalkot,District Session Judge Duration of Trial 5-10 Years,4
Bagalkot,District Session Judge Duration of Trial Over 10 Years,0
Bagalkot,District Session Judge Duration of Trial (Total),53
Bagalkot,Additional Session Judge Duration of Trial Less Then 6 Months,0
Bagalkot,Additional Session Judge Duration of Trial 6-12 Months,0
Bagalkot,Additional Session Judge Duration of Trial 1-3 Years,0
Bagalkot,Additional Session Judge Duration of Trial 3-5 Years,0
Bagalkot,Additional Session Judge Duration of Trial 5-10 Years,0
Bagalkot,Additional Session Judge Duration of Trial Over 10 Years,0
Bagalkot,Additional Session Judge Duration of Trial (Total),0
Bagalkot,Other Courts Duration of Trial Less Then 6 Months,0
Bagalkot,Other Courts Duration of Trial 6-12 Months,0
Bagalkot,Other Courts Duration of Trial 1-3 Years,0
Bagalkot,Other Courts Duration of Trial 3-5 Years,0
Bagalkot,Other Courts Duration of Trial 5-10 Years,0
Bagalkot,Other Courts Duration of Trial Over 10 Years,0
Bagalkot,Other Courts (Total),0
Bagalkot,Other Courts (Concluded) Duration of Trial Less Then 6 Months,282
Bagalkot,Other Courts (Concluded) Duration of Trial 6-12 Months,582
Bagalkot,Other Courts (Concluded) Duration of Trial 1-3 Years,328
Bagalkot,Other Courts (Concluded) Duration of Trial 3-5 Years,37
Bagalkot,Other Courts (Concluded) Duration of Trial 5-10 Years,4
Bagalkot,Other Courts (Concluded) Duration of Trial Over 10 Years,0
Bagalkot,Other Courts (Concluded) Total,1235
Bagalkot,Total Crimes Committed Against Women (Incidence),125
Bagalkot,Total Crimes Committed Against Women (Estimated Mid Year Population (In Lakhs)),18.3
Bagalkot,Total Crimes Committed Against Women (Rank of Population),8
Bagalkot,Total Crimes Committed Against Women (Rank of Crimes),32
Bagalkot,Incidence of Crimes Committed Against Women Rape (Incidence),14
Bagalkot,Incidence of Crimes Committed Against Women Rape (Percentage),2.3
Bagalkot,Incidence of Crimes Committed Against Women Kidnapping & Abduction (Incidence),8
Bagalkot,Incidence of Crimes Committed Against Women Kidnapping & Abduction (Percentage),1.2
Bagalkot,Incidence of Crimes Committed Against Women Dowry Death (Incidence),0
Bagalkot,Incidence of Crimes Committed Against Women Dowry Death (Percentage),0
Bagalkot,Incidence of Crimes Committed Against Women Cruelty By Husband & Relatives (Incidence),56
Bagalkot,Incidence of Crimes Committed Against Women Cruelty By Husband & Relatives (Percentage),1.5
Bagalkot,Incidence of Crimes Committed Against Women Molestation (Incidence),36
Bagalkot,Incidence of Crimes Committed Against Women Molestation (Percentage),1.4
Bagalkot,Incidence of Crimes Committed Against Women Sexual Harassment (Eve-Teasing) (Incidence),0
Bagalkot,Incidence of Crimes Committed Against Women Sexual Harassment (Eve-Teasing) (Percentage),0
Bagalkot,Incidence of Crimes Committed Against Women Importation of Girls (Incidence),0
Bagalkot,Incidence of Crimes Committed Against Women Importation of Girls (Percentage),0
Bagalkot,Incidence of Crimes Committed Against Women Immoral Traffic (P) Act (Incidence),0
Bagalkot,Incidence of Crimes Committed Against Women Immoral Traffic (P) Act (Percentage),0
Bagalkot,Incidence of Crimes Committed Against Women Indecent Representation of Women (P) Act (Incidence),0
Bagalkot,Incidence of Crimes Committed Against Women Indecent Representation of Women (P) Act (Percentage),0
Bagalkot,Incidence of Crimes Committed Against Women Dowry Prohibition Act (Incidence),8
Bagalkot,Incidence of Crimes Committed Against Women Dowry Prohibition Act (Percentage),0.7
Bagalkot,Incidence of Crimes Committed Against Women Total (Incidence),125
Bagalkot,Incidence of Crimes Committed Against Women Total (Percentage),1.3
Bagalkot,Number of Victims Upto 10 Years (Age Group Wise Victims of Rape Cases),0
Bagalkot,Number of Victims 11 to 15  Years (Age Group Wise Victims of Rape Cases),0
Bagalkot,Number of Victims 16 - 18  Years (Age Group Wise Victims of Rape Cases),0
Bagalkot,Number of Victims 19 - 30  Years (Age Group Wise Victims of Rape Cases),14
Bagalkot,Number of Victims 31 - 50  Years (Age Group Wise Victims of Rape Cases),0
Bagalkot,Number of Victims Above 50  Years (Age Group Wise Victims of Rape Cases),0
Bagalkot,Number of Cases In Which offenders Were Known to The Victims,0
Bagalkot,Number of Cases In Which offenders Were Parents / Close Family Members,0
Bagalkot,Number of Cases In Which offenders Were Relatives,0
Bagalkot,Number of Cases In Which offenders Were Neighbours,0
Bagalkot,Number of Cases In Which offenders Were Other Known Persons,0
Bagalkot,Crimes Committed Against Children Murder  (Incidence),1
Bagalkot,Crimes Committed Against Children Murder (Percentage),3.7
Bagalkot,Crimes Committed Against Children Rape (Below 16 Years) (Incidence),0
Bagalkot,Crimes Committed Against Children Rape (Below 16 Years) (Percentage),0
Bagalkot,Crimes Committed Against Children Infanticide (Incidence),0
Bagalkot,Crimes Committed Against Children Infanticide (Percentage),0
Bagalkot,Crimes Committed Against Children Foeticide (Incidence),0
Bagalkot,Crimes Committed Against Children Foeticide (Percentage),0
Bagalkot,Crimes Committed Against Children Abetment of Suicide (Incidence),0
Bagalkot,Crimes Committed Against Children Abetment of Suicide (Percentage),0
Bagalkot,Crimes Committed Against Children Exposure & Abandonment (Incidence),0
Bagalkot,Crimes Committed Against Children Exposure & Abandonment (Percentage),0
Bagalkot,Crimes Committed Against Children Kidnapping & Abduction (Incidence),2
Bagalkot,Crimes Committed Against Children Kidnapping & Abduction (Percentage),2.7
Bagalkot,Crimes Committed Against Children Procuration of Minor Girls (Incidence),0
Bagalkot,Crimes Committed Against Children Procuration of Minor Girls (Percentage),0
Bagalkot,Crimes Committed Against Children Selling of Girls For Prostitution (Incidence),0
Bagalkot,Crimes Committed Against Children Selling of Girls For Prostitution (Percentage),0
Bagalkot,Crimes Committed Against Children Buying of Girls For Prostitution (Incidence),0
Bagalkot,Crimes Committed Against Children Buying of Girls For Prostitution (Percentage),0
Bagalkot,Crimes Committed Against Children Child Marriage Restraint Act (Incidence),0
Bagalkot,Crimes Committed Against Children Child Marriage Restraint Act (Percentage),8.1
Bagalkot,Crimes Committed Against Children Others (Incidence),0
Bagalkot,Crimes Committed Against Children Others (Percentage),0
Bagalkot,Crimes Committed Against Children Total (Incidence),5
Bagalkot,Crimes Committed Against Children Total (Percentage),1.7
Bagalkot,Number of Cases Reported,265
Bagalkot,Number of Cases Detected,61
Bagalkot,Total Value of Property In Rupees Stolen,32800328
Bagalkot,Total Value of Property In Rupees Recovered,2867523
Bagalkot,Percentage of Recovery,8.5
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Dacoity (Stolen),3
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Dacoity (Recovered),0
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Robbery (Stolen),15
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Robbery (Recovered),5
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Burglary (Stolen),98
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Burglary (Recovered),7
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Theft (Stolen),136
Bagalkot,Number of Cases In Which Property Was Stolen and Recovered Theft (Recovered),46
Bagalkot,Number of Vehicles Two Wheelers (Motor Cycles Scooters) Stolen,68
Bagalkot,Number of Vehicles Two Wheelers (Motor Cycles Scooters) Recovered,24
Bagalkot,Number of Vehicles Two Wheelers (Motor Cycles Scooters) Coordinated,0
Bagalkot,Number of Vehicles Four Wheelers (Car / Taxi / Jeep) Stolen,0
Bagalkot,Number of Vehicles Four Wheelers (Car / Taxi / Jeep) Recovered,0
Bagalkot,Number of Vehicles Four Wheelers (Car / Taxi / Jeep) Coordinated,0
Bagalkot,Number of Vehicles Four Wheelers (Bus) Stolen,0
Bagalkot,Number of Vehicles Four Wheelers (Bus) Recovered,0
Bagalkot,Number of Vehicles Four Wheelers (Bus) Coordinated,0
Bagalkot,Four Wheelers  (Goods Carring) Vehicles Stolen,5
Bagalkot,Four Wheelers  (Goods Carring) Vehicles Recovered,0
Bagalkot,Four Wheelers  (Goods Carring) Vehicles Coordinated,0
Bagalkot,Other Motor Vehicle Stolen,0
Bagalkot,Other Motor Vehicle Recovered,0
Bagalkot,Other Motor Vehicle Coordinated,0
Bagalkot,Total Motor Vehicle Recovered,25
Bagalkot,Total Motor Vehicle Coordinated,0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Residential Premises (Number),1
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Residential Premises (Value),95060
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Highways (Number),0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Highways (Value),29100
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence River & Sea (Number),0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence River & Sea (Value),0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Railways (Number),0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Railways (Value),0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Running Trains (Number),0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Running Trains (Value),0
Bagalkot,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Other Railways (Number),0
