id,District,Crime Attribute
63,Kodagu,Auto Theft (Incidence)
64,Kodagu,Incidence of Crimes Committed Against Women Rape (Incidence)
65,Kodagu,Incidence of Crimes Committed Against Women Kidnapping & Abduction (Incidence)
66,Kodagu,Incidence of Crimes Committed Against Women Dowry Death (Incidence)
67,Kodagu,Incidence of Crimes Committed Against Women Cruelty By Husband & Relatives (Incidence)
68,Kodagu,Incidence of Crimes Committed Against Women Molestation (Incidence)
69,Kodagu,Incidence of Crimes Committed Against Women Total (Incidence)
70,Mandya,Murder (Incidence)
71,Mandya,Attempt to Commit Murder (Incidence)
72,Mandya,Burglary  (Incidence)
73,Mandya,Auto Theft (Incidence)
74,Mandya,Incidence of Crimes Committed Against Women Rape (Incidence)
75,Mandya,Incidence of Crimes Committed Against Women Kidnapping & Abduction (Incidence)
76,Mandya,Incidence of Crimes Committed Against Women Dowry Death (Incidence)
77,Mandya,Incidence of Crimes Committed Against Women Cruelty By Husband & Relatives (Incidence)
78,Mandya,Incidence of Crimes Committed Against Women Molestation (Incidence)
79,Mandya,Incidence of Crimes Committed Against Women Total (Incidence)
80,Raichur,Murder (Incidence)
81,Raichur,Attempt to Commit Murder (Incidence)
82,Raichur,Burglary  (Incidence)
83,Raichur,Auto Theft (Incidence)
84,Raichur,Incidence of Crimes Committed Against Women Rape (Incidence)
85,Raichur,Incidence of Crimes Committed Against Women Kidnapping & Abduction (Incidence)
86,Raichur,Incidence of Crimes Committed Against Women Dowry Death (Incidence)
87,Raichur,Incidence of Crimes Committed Against Women Cruelty By Husband & Relatives (Incidence)
88,Raichur,Incidence of Crimes Committed Against Women Molestation (Incidence)
89,Raichur,Incidence of Crimes Committed Against Women Total (Incidence)
90,Tumkur,Murder (Incidence)
91,Tumkur,Attempt to Commit Murder (Incidence)
92,Tumkur,Burglary  (Incidence)
93,Tumkur,Auto Theft (Incidence)
94,Tumkur,Incidence of Crimes Committed Against Women Rape (Incidence)
95,Tumkur,Incidence of Crimes Committed Against Women Kidnapping & Abduction (Incidence)
96,Tumkur,Incidence of Crimes Committed Against Women Dowry Death (Incidence)
97,Tumkur,Incidence of Crimes Committed Against Women Cruelty By Husband & Relatives (Incidence)
98,Tumkur,Incidence of Crimes Committed Against Women Molestation (Incidence)
99,Tumkur,Incidence of Crimes Committed Against Women Total (Incidence)
