District,Attribute,Measure
Bangalore City,Complete immunization - Total 12-23 mo,87.5
Bangalore City,Complete immunization - Total 12-35 mo,93.2
Bangalore City,DPT3 immunization - Total 12-23 mo,92.6
Bangalore City,DPT3 immunization - Total 12-35 mo,97.1
Bangalore City,Measles immunization - Total 12-23 mo,96.7
Bangalore City,Measles immunization - Total 12-35 mo,95.7
Bangalore City,No immunization - Total 12-23 mo,0
Bangalore City,No immunization - Total 12-35 mo,0
Bangalore City,OPV3 immunization - Total 12-23 mo,97.6
Bangalore City,OPV3 immunization - Total 12-35 mo,95.8
Bangalore City,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,34.2
Bangalore City,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,97.4
Bangalore City,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,45.6
Bangalore City,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,4.8
Bangalore City,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,97.9
Bangalore City,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,45.6
Bangalore City,Proportion of households having television - Total,89.1
Bangalore City,Percentage of households who own a mobile phone - Total,75.3
Bangalore City,Percentage of households who own a motorized vehicle - Total,48
Bangalore City,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,46.4
Bangalore City,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,63.9
Bangalore City,Exclusive breastfeeding rate - Atleast 4 months,30.4
Bangalore City,Exclusive breastfeeding rate - Atleast 6 months,19.5
Bangalore City,Timely complementary feeding rate - Total 6-24 mo,52.4
Bangalore City,Anaemia among adolescent girls - Total 10-19 yr Mild,63.9
Bangalore City,Anaemia among adolescent girls - Total 10-19 yr Moderate,26.4
Bangalore City,Anaemia among adolescent girls - Total 10-19 yr Severe,5.6
Bangalore City,Anaemia among children - Mild Under 6 yr,55.8
Bangalore City,Anaemia among children - Moderate Under 6 yr,20.9
Bangalore City,Anaemia among children - Severe Under 6 yr,4.7
Bangalore City,Anaemia among pregnant women - Female 15-44 yr Mild,50
Bangalore City,Anaemia among pregnant women - Female 15-44 yr Moderate,37.5
Bangalore City,Anaemia among pregnant women - Female 15-44 yr Severe,0
Bangalore City,Prevalence of underweight (moderate and severe) - Under 6 yr,26.4
Bangalore City,Prevalence of underweight (severe) - Under 6 yr,6.4
Bangalore City,Children who received vitamin A supplements - Total 9-35 mo,84.8
Bangalore City,Use of iodised salt - Adequately Iodised,59.8
Bangalore City,Children aged 21 months and above who received three doses of Vitamin A - Total,7.7
Bangalore City,Marriage below legal age at marriage - Female,10.6
Bangalore City,Marriage below legal age at marriage - Male,5.3
Bangalore City,Currently married women aged 15-44 yrs aware of RTI/STI - Total,21.8
Bangalore City,Prevalence of RTI/STI - Female,16.4
Bangalore City,Ever married women aged 15-49 years who have heard of RTI/STI - Total,46.9
Bangalore City,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,43.8
Bangalore City,Antenatal care (all components) - Total,49.6
Bangalore City,Contraceptive prevalence rate by method - Total 15-49 yr Any method,60
Bangalore City,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,59.2
Bangalore City,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,3.7
Bangalore City,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,4.8
Bangalore City,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,46
Bangalore City,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,6.3
Bangalore City,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0
Bangalore City,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,1.6
Bangalore City,Percentage distribution of live births by order of birth - 3rd & above,10.3
Bangalore City,Percentage of deliveries assisted by a skilled health professional - Total,1.4
Bangalore City,Percentage of women who had antenatal check up - Antenatal check up at home,0
Bangalore City,Percentage of women who had antenatal check up - Any antenatal check up,99.5
Bangalore City,Percentage of women who had antenatal check up - No antenatal check up,0.5
Bangalore City,Percentage of women who had antenatal check up - Three or more antenatal check ups,98.1
Bangalore City,Currently married women who had childbirth at home - Total,7.6
Bangalore City,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,29.7
Bangalore City,Pregnant women who had two or more TT injections - Total,93.4
Bangalore City,Pregnant women who received adequate IFA tablets/syrup - Total,52.2
Bangalore City,Unmet need for family planning - For limiting,11.6
Bangalore City,Unmet need for family planning - For spacing,4.8
Bangalore City,Unmet need for family planning - Total,16.4
Bangalore City,Women who had institutional delivery - Total,93.8
Bangalore City,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,44.5
Bangalore City,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,95.1
Bangalore City,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,99.7
Bangalore City,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,36.3
Bangalore City,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,89.7
Bangalore City,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,98
Bangalore City,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,89.4
Bangalore City,Percentage of births to women aged 15-19 years - Total,3.4
Bangalore City,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,53.7
Bangalore City,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Bangalore City,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0.5
Bangalore City,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0
Bangalore Dist.,Households with toilet facility - Total,37.8
Bangalore Dist.,Type of houses occupied - Pucca,23.6
Bangalore Dist.,Living in own house - Total,90.3
Bangalore Dist.,Mean age at marriage - Female,18.7
Bangalore Dist.,Mean age at marriage - Male,24.8
Bangalore Dist.,Population size - Female,479743
Bangalore Dist.,Population size - Female 0-6 yr,49619
Bangalore Dist.,Population size - Male,507514
Bangalore Dist.,Population size - Male 0-6 yr,52400
Bangalore Dist.,Population size - Rural,719564
Bangalore Dist.,Population size - Rural 0-6 yr,73852
Bangalore Dist.,Population size - Rural Female,349525
Bangalore Dist.,Population size - Rural Female 0-6 yr,35853
Bangalore Dist.,Population size - Rural Male,370039
Bangalore Dist.,Population size - Rural Male 0-6 yr,37999
Bangalore Dist.,Population size - Total,987257
Bangalore Dist.,Population size - Total 0-6 yr,102019
Bangalore Dist.,Population size - Urban,267693
Bangalore Dist.,Population size - Urban 0-6 yr,28167
Bangalore Dist.,Population size - Urban Female,130218
Bangalore Dist.,Population size - Urban Female 0-6 yr,13766
Bangalore Dist.,Population size - Urban Male,137475
Bangalore Dist.,Population size - Urban Male 0-6 yr,14401
Bangalore Dist.,Population density - Total,441
Bangalore Dist.,Sex ratio - Rural,945
Bangalore Dist.,Sex ratio - Total,945
Bangalore Dist.,Sex ratio - Urban,947
Bangalore Dist.,Sex ratio (0-6 years) - Rural,944
Bangalore Dist.,Sex ratio (0-6 years) - Total,947
Bangalore Dist.,Sex ratio (0-6 years) - Urban,956
Bangalore Dist.,Percentage of households who own any agricultural land - Total,60.8
Bangalore Dist.,Percentage distribution of population by wealth quintiles - Highest,17.5
Bangalore Dist.,Percentage distribution of population by wealth quintiles - Lowest,7
Bangalore Dist.,Percentage of households holding below poverty line (BPL) ration cards - Total,69.3
Bangalore Dist.,Children aged 6-11 years attending school - Female,100
Bangalore Dist.,Children aged 6-11 years attending school - Male,100
Bangalore Dist.,Literacy rate (age 7+) - Female,70.73
Bangalore Dist.,Literacy rate (age 7+) - Male,85.44
Bangalore Dist.,Literacy rate (age 7+) - Rural,75.55
Bangalore Dist.,Literacy rate (age 7+) - Rural Female,66.83
Bangalore Dist.,Literacy rate (age 7+) - Rural Male,83.79
Bangalore Dist.,Literacy rate (age 7+) - Total,78.29
Bangalore Dist.,Literacy rate (age 7+) - Urban,85.68
Bangalore Dist.,Literacy rate (age 7+) - Urban Female,81.23
Bangalore Dist.,Literacy rate (age 7+) - Urban Male,89.88
Bangalore Dist.,Number of literates aged 7 years and above - Female,304235
Bangalore Dist.,Number of literates aged 7 years and above - Male,388833
Bangalore Dist.,Number of literates aged 7 years and above - Rural,487848
Bangalore Dist.,Number of literates aged 7 years and above - Rural Female,209637
Bangalore Dist.,Number of literates aged 7 years and above - Rural Male,278211
Bangalore Dist.,Number of literates aged 7 years and above - Total,693068
Bangalore Dist.,Number of literates aged 7 years and above - Urban,205220
Bangalore Dist.,Number of literates aged 7 years and above - Urban Female,94598
Bangalore Dist.,Number of literates aged 7 years and above - Urban Male,110622
Bangalore Dist.,Households with electricity - Total,94.4
Bangalore Dist.,Households using LPG for cooking - Total,18.3
Bangalore Dist.,Households with improved source of drinking water - Total,96.8
Bangalore Dist.,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,68.2
Bangalore Dist.,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,82.6
Bangalore Dist.,Children aged under 3 yrs with diarrhoea treated with ORS - Total,71.4
Bangalore Dist.,Women whose child under 3 yrs suffered from diarrhoea - Total,8
Bangalore Dist.,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,61.1
Bangalore Dist.,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,42.4
Bangalore Dist.,Women whose child under 3 yrs suffered from pneumonia - Total,42
Bangalore Dist.,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,70.8
Bangalore Dist.,Women with children under 3 yrs aware of diarrhoea - Total,69.8
Bangalore Dist.,Women with children under 3 yrs aware of pneumonia - Total,3.9
Bangalore Dist.,Women with children under 3 yrs having knowledge of ORS - Total,33.1
Bangalore Dist.,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,75.7
Bangalore Dist.,Percentage of villages with health sub-centre within 3 km - Total,80.6
Bangalore Dist.,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,0
Bangalore Dist.,BCG immunization - Total 12-23 mo,100
Bangalore Dist.,BCG immunization - Total 12-35 mo,100
Bangalore Dist.,Complete immunization - Total 12-23 mo,90.3
Bangalore Dist.,Complete immunization - Total 12-35 mo,88.2
Bangalore Dist.,DPT3 immunization - Total 12-23 mo,95.8
Bangalore Dist.,DPT3 immunization - Total 12-35 mo,97.4
Bangalore Dist.,Measles immunization - Total 12-23 mo,90.7
Bangalore Dist.,Measles immunization - Total 12-35 mo,89.6
Bangalore Dist.,No immunization - Total 12-23 mo,0
Bangalore Dist.,No immunization - Total 12-35 mo,0
Bangalore Dist.,OPV3 immunization - Total 12-23 mo,96.8
Bangalore Dist.,OPV3 immunization - Total 12-35 mo,98.2
Bangalore Dist.,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,14.3
Bangalore Dist.,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,94.2
Bangalore Dist.,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,21.2
Bangalore Dist.,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,0.9
Bangalore Dist.,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,99.1
Bangalore Dist.,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,24.8
Bangalore Dist.,Proportion of households having television - Total,66.8
Bangalore Dist.,Percentage of households who own a mobile phone - Total,40.1
Bangalore Dist.,Percentage of households who own a motorized vehicle - Total,24.7
Bangalore Dist.,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,52.9
Bangalore Dist.,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,60.4
Bangalore Dist.,Exclusive breastfeeding rate - Atleast 4 months,31.5
Bangalore Dist.,Exclusive breastfeeding rate - Atleast 6 months,17.7
Bangalore Dist.,Timely complementary feeding rate - Total 6-24 mo,59.1
Bangalore Dist.,Anaemia among adolescent girls - Total 10-19 yr Mild,55.6
Bangalore Dist.,Anaemia among adolescent girls - Total 10-19 yr Moderate,24.1
Bangalore Dist.,Anaemia among adolescent girls - Total 10-19 yr Severe,10.3
Bangalore Dist.,Anaemia among children - Mild Under 6 yr,66.7
Bangalore Dist.,Anaemia among children - Moderate Under 6 yr,20
Bangalore Dist.,Anaemia among children - Severe Under 6 yr,3.8
Bangalore Dist.,Anaemia among pregnant women - Female 15-44 yr Mild,70.3
Bangalore Dist.,Anaemia among pregnant women - Female 15-44 yr Moderate,21.6
Bangalore Dist.,Anaemia among pregnant women - Female 15-44 yr Severe,2.7
Bangalore Dist.,Prevalence of underweight (moderate and severe) - Under 6 yr,42.9
Bangalore Dist.,Prevalence of underweight (severe) - Under 6 yr,10.8
Bangalore Dist.,Children who received vitamin A supplements - Total 9-35 mo,79.7
Bangalore Dist.,Use of iodised salt - Adequately Iodised,14.8
Bangalore Dist.,Children aged 21 months and above who received three doses of Vitamin A - Total,19.8
Bangalore Dist.,Marriage below legal age at marriage - Female,14.6
Bangalore Dist.,Marriage below legal age at marriage - Male,9
Bangalore Dist.,Currently married women aged 15-44 yrs aware of RTI/STI - Total,15.6
Bangalore Dist.,Prevalence of RTI/STI - Female,19.6
Bangalore Dist.,Ever married women aged 15-49 years who have heard of RTI/STI - Total,39.2
Bangalore Dist.,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,42.6
Bangalore Dist.,Antenatal care (all components) - Total,55.7
Bangalore Dist.,Contraceptive prevalence rate by method - Total 15-49 yr Any method,71.6
Bangalore Dist.,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,71.7
Bangalore Dist.,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,0.5
Bangalore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,1.1
Bangalore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,68.2
Bangalore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,2.1
Bangalore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0
Bangalore Dist.,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.2
Bangalore Dist.,Percentage distribution of live births by order of birth - 3rd & above,16
Bangalore Dist.,Percentage of deliveries assisted by a skilled health professional - Total,1.2
Bangalore Dist.,Percentage of women who had antenatal check up - Antenatal check up at home,0.5
Bangalore Dist.,Percentage of women who had antenatal check up - Any antenatal check up,92.8
Bangalore Dist.,Percentage of women who had antenatal check up - No antenatal check up,7.2
Bangalore Dist.,Percentage of women who had antenatal check up - Three or more antenatal check ups,95.6
Bangalore Dist.,Currently married women who had childbirth at home - Total,30.6
Bangalore Dist.,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,30.8
Bangalore Dist.,Pregnant women who had two or more TT injections - Total,84.5
Bangalore Dist.,Pregnant women who received adequate IFA tablets/syrup - Total,57.1
Bangalore Dist.,Unmet need for family planning - For limiting,3.7
Bangalore Dist.,Unmet need for family planning - For spacing,5.7
Bangalore Dist.,Unmet need for family planning - Total,9.4
Bangalore Dist.,Women who had institutional delivery - Total,84.9
Bangalore Dist.,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,34.6
Bangalore Dist.,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,89.2
Bangalore Dist.,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,99.6
Bangalore Dist.,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,21.5
Bangalore Dist.,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,73.9
Bangalore Dist.,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,97.6
Bangalore Dist.,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,78.8
Bangalore Dist.,Percentage of births to women aged 15-19 years - Total,5.6
Bangalore Dist.,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,63.6
Bangalore Dist.,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Bangalore Dist.,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0
Bangalore Dist.,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0.2
Bagalkot,Households with toilet facility - Total,17.7
Bagalkot,Type of houses occupied - Pucca,16.3
Bagalkot,Living in own house - Total,92.1
Bagalkot,Mean age at marriage - Female,17.4
Bagalkot,Mean age at marriage - Male,23.4
Bagalkot,Population size - Female,937924
Bagalkot,Population size - Female 0-6 yr,127001
Bagalkot,Population size - Male,952902
Bagalkot,Population size - Male 0-6 yr,136780
Bagalkot,Population size - Rural,1292036
Bagalkot,Population size - Rural 0-6 yr,189356
Bagalkot,Population size - Rural Female,640455
Bagalkot,Population size - Rural Female 0-6 yr,91266
Bagalkot,Population size - Rural Male,651581
Bagalkot,Population size - Rural Male 0-6 yr,98090
Bagalkot,Population size - Total,1890826
Bagalkot,Population size - Total 0-6 yr,263781
Bagalkot,Population size - Urban,598790
Bagalkot,Population size - Urban 0-6 yr,74425
Bagalkot,Population size - Urban Female,297469
Bagalkot,Population size - Urban Female 0-6 yr,35735
Bagalkot,Population size - Urban Male,301321
Bagalkot,Population size - Urban Male 0-6 yr,38690
Bagalkot,Population density - Total,288
Bagalkot,Sex ratio - Rural,983
Bagalkot,Sex ratio - Total,984
Bagalkot,Sex ratio - Urban,987
Bagalkot,Sex ratio (0-6 years) - Rural,930
Bagalkot,Sex ratio (0-6 years) - Total,929
Bagalkot,Sex ratio (0-6 years) - Urban,924
Bagalkot,Percentage of households who own any agricultural land - Total,56.9
Bagalkot,Percentage distribution of population by wealth quintiles - Highest,11.4
Bagalkot,Percentage distribution of population by wealth quintiles - Lowest,18.9
Bagalkot,Percentage of households holding below poverty line (BPL) ration cards - Total,56.4
Bagalkot,Children aged 6-11 years attending school - Female,96.6
Bagalkot,Children aged 6-11 years attending school - Male,98.5
Bagalkot,Literacy rate (age 7+) - Female,58.55
Bagalkot,Literacy rate (age 7+) - Male,80.16
Bagalkot,Literacy rate (age 7+) - Rural,64.8
Bagalkot,Literacy rate (age 7+) - Rural Female,52.69
Bagalkot,Literacy rate (age 7+) - Rural Male,76.82
Bagalkot,Literacy rate (age 7+) - Total,69.39
Bagalkot,Literacy rate (age 7+) - Urban,79.04
Bagalkot,Literacy rate (age 7+) - Urban Female,70.84
Bagalkot,Literacy rate (age 7+) - Urban Male,87.21
Bagalkot,Number of literates aged 7 years and above - Female,474766
Bagalkot,Number of literates aged 7 years and above - Male,654206
Bagalkot,Number of literates aged 7 years and above - Rural,714524
Bagalkot,Number of literates aged 7 years and above - Rural Female,289351
Bagalkot,Number of literates aged 7 years and above - Rural Male,425173
Bagalkot,Number of literates aged 7 years and above - Total,1128972
Bagalkot,Number of literates aged 7 years and above - Urban,414448
Bagalkot,Number of literates aged 7 years and above - Urban Female,185415
Bagalkot,Number of literates aged 7 years and above - Urban Male,229033
Bagalkot,Households with electricity - Total,86
Bagalkot,Households using LPG for cooking - Total,10.6
Bagalkot,Households with improved source of drinking water - Total,94.3
Bagalkot,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,85.5
Bagalkot,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,83.2
Bagalkot,Children aged under 3 yrs with diarrhoea treated with ORS - Total,52.3
Bagalkot,Women whose child under 3 yrs suffered from diarrhoea - Total,18.8
Bagalkot,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,80.4
Bagalkot,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,22.6
Bagalkot,Women whose child under 3 yrs suffered from pneumonia - Total,22.1
Bagalkot,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,69.8
Bagalkot,Women with children under 3 yrs aware of diarrhoea - Total,51.6
Bagalkot,Women with children under 3 yrs aware of pneumonia - Total,17.2
Bagalkot,Women with children under 3 yrs having knowledge of ORS - Total,12.5
Bagalkot,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,54.1
Bagalkot,Percentage of villages with health sub-centre within 3 km - Total,68.8
Bagalkot,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,68
Bagalkot,BCG immunization - Total 12-23 mo,92.5
Bagalkot,BCG immunization - Total 12-35 mo,94.2
Bagalkot,Complete immunization - Total 12-23 mo,58.7
Bagalkot,Complete immunization - Total 12-35 mo,48.4
Bagalkot,DPT3 immunization - Total 12-23 mo,75.7
Bagalkot,DPT3 immunization - Total 12-35 mo,69.9
Bagalkot,Measles immunization - Total 12-23 mo,71.2
Bagalkot,Measles immunization - Total 12-35 mo,64.3
Bagalkot,No immunization - Total 12-23 mo,4.4
Bagalkot,No immunization - Total 12-35 mo,3.6
Bagalkot,OPV3 immunization - Total 12-23 mo,82.1
Bagalkot,OPV3 immunization - Total 12-35 mo,67.9
Bagalkot,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,26
Bagalkot,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,83.9
Bagalkot,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,23.3
Bagalkot,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,16.1
Bagalkot,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,94.7
Bagalkot,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,19.7
Bagalkot,Proportion of households having television - Total,43.1
Bagalkot,Percentage of households who own a mobile phone - Total,31.5
Bagalkot,Percentage of households who own a motorized vehicle - Total,17.8
Bagalkot,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,38.6
Bagalkot,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,29.3
Bagalkot,Exclusive breastfeeding rate - Atleast 4 months,46
Bagalkot,Exclusive breastfeeding rate - Atleast 6 months,57.2
Bagalkot,Timely complementary feeding rate - Total 6-24 mo,70.2
Bagalkot,Anaemia among adolescent girls - Total 10-19 yr Mild,20.2
Bagalkot,Anaemia among adolescent girls - Total 10-19 yr Moderate,57.7
Bagalkot,Anaemia among adolescent girls - Total 10-19 yr Severe,18
Bagalkot,Anaemia among children - Mild Under 6 yr,42.8
Bagalkot,Anaemia among children - Moderate Under 6 yr,55.3
Bagalkot,Anaemia among children - Severe Under 6 yr,1.9
Bagalkot,Anaemia among pregnant women - Female 15-44 yr Mild,45.3
Bagalkot,Anaemia among pregnant women - Female 15-44 yr Moderate,49.1
Bagalkot,Anaemia among pregnant women - Female 15-44 yr Severe,0
Bagalkot,Prevalence of underweight (moderate and severe) - Under 6 yr,62.4
Bagalkot,Prevalence of underweight (severe) - Under 6 yr,25.4
Bagalkot,Children who received vitamin A supplements - Total 9-35 mo,45.7
Bagalkot,Use of iodised salt - Adequately Iodised,8.4
Bagalkot,Children aged 21 months and above who received three doses of Vitamin A - Total,50.7
Bagalkot,Marriage below legal age at marriage - Female,43.6
Bagalkot,Marriage below legal age at marriage - Male,27.7
Bagalkot,Currently married women aged 15-44 yrs aware of RTI/STI - Total,16.9
Bagalkot,Prevalence of RTI/STI - Female,17
Bagalkot,Ever married women aged 15-49 years who have heard of RTI/STI - Total,38.5
Bagalkot,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,54.7
Bagalkot,Antenatal care (all components) - Total,14.4
Bagalkot,Contraceptive prevalence rate by method - Total 15-49 yr Any method,54.5
Bagalkot,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,53.7
